iata,icao,airline
2J,VBW,Air Burkina
,ATH,Air Travel Corp.
KM,AMC,Air Malta
YT,TGA,Air Togo
,ASJ,Air Satellite
,ASN,Air and Sea Transport
,ASS,"Air Class, S.A. de C.V."
,NPL,Air Nepal International
,NPR,Air Napier
,WAM,Air Taxi & Cargo
,RSM,Air Somalia
,AWZ,AirWest
G4,AAY,Allegiant Air
,ABB,African Business and Transportations
,ABF,Aerial Oy
,ABK,Alberta Citylink
,ABO,APSA Colombia
O4,ABV,Antrak Air
,ACY,Atlas Cargo Airlines
,ADA,Airservices Australia
8T,TID,Air Tindi
,ADB,Antonov Airlines
,ADG,Aerea Flying Training Organization
,ADI,Audeli Air
,ADL,Aero Dynamics
,ADN,Aero-Dienst
,ADP,Aerodiplomatic
3L,ADY,Air Arabia Abu Dhabi
,ADQ,Avion Taxi
,ADS,Aviones de Sonora
,ADU,Airdeal Oy
EM*,AEB,Aero Benin
,AEC,Aerocésar
,ADX,Anderson Aviation
,AEJ,Air Express
,AEM,Aero Madrid
,AEO,Aeroservicios Ejecutivos Del Occidente
,AEP,Aerotec Escuela de Pilotos
AX,AAC,AmericanConnection[8]
AN,AAA,Ansett Australia
5W,AEU,Astraeus
,AEV,Aeroventas
VV,AEW,Aerosvit Airlines
,AEX,Airway Express
,AEZ,Aerial Transit
,AFA,Alfa Air
WK,AFB,American Falcon
QQ,UTY,Alliance Airlines
,UVS,Air Universal
,UVT,Auvia Air
,AFC,African West Air
,AFE,Airfast Indonesia
FG,AFG,Ariana Afghan Airlines
RV*,AFI,Africaone
Y2,AFJ,Alliance Air
,AFK,Africa Air Links
,AFO,Aero Empresa Mexicana
,AFQ,Alba Servizi Aerotrasporti
5Z,AFX,Airfreight Express
,AFY,Africa Chartered Services
,AFZ,Africa Freight Services
,AGC,Arab Agricultural Aviation Company
,AGF,Atlantic Gulf Airlines
5D,SLI,Aeroméxico Connect
,AGG,Algoma Airways
,AGH,Altagna
,AGO,Angola Air Charter
,AGP,AERFI Group
1A,AGT,Amadeus IT Group
,AGU,Angara Airlines
,AGW,Aero Gambia
JJ,AGX,Aviogenex
,BLR,Atlantic Coast Airlines
,BLZ,Aero Barloz
PL,PLI,Aeroperú
8A,BMM,Atlas Blue
,BNB,Aero Banobras
,AGY,Aero Flight Service
,AGZ,Agrolet-Mci
GD,AHA,Air Alpha Greenland
,AHC,Azal Avia Cargo
,AHE,"Airport Helicopter Basel, Muller & Co."
,CJE,Aeroservices Corporate
,AHF,Aspen Helicopters
,AHG,Aerochago Airlines
,AHH,Airplanes Holdings
